"","language","target","observations_per_class","top_k_words","classifier","C","kernel","Accuracy","Precision","Recall","F1"
"160","de","d_fr_wel",3904,10000,"SVM",1,"poly",0.687668075297733,0.726654959992464,0.687682050083181,0.706631544010862
"161","de","d_fr_wel",3904,10000,"SVM",3,"rbf",0.713791778716865,0.730049185244271,0.713811218122418,0.721838893834042
"162","de","d_fr_wel",3904,10000,"SVM",3,"linear",0.703034959661929,0.722514156493428,0.703051002950584,0.712649715102201
"163","de","d_fr_wel",3904,10000,"SVM",3,"sigmoid",0.565693430656934,0.566430398873909,0.565674991823612,0.566052443322838
"164","de","d_fr_wel",3904,10000,"SVM",3,"poly",0.703227045716481,0.735636788062659,0.703244638709914,0.719076106782793
"165","de","d_fr_wel",3904,10000,"SVM",5,"rbf",0.711102573953131,0.725723210584757,0.711124079197026,0.718349477427588
"166","de","d_fr_wel",3904,10000,"SVM",5,"linear",0.708797541298502,0.728312038364451,0.708816389614039,0.718431977957726
"167","de","d_fr_wel",3904,10000,"SVM",5,"sigmoid",0.563580484056857,0.564242343674657,0.563562266294036,0.563902099937639
"168","de","d_fr_wel",3904,10000,"SVM",5,"poly",0.70630042258932,0.734362543573833,0.706318311212809,0.720067473475003
"169","de","d_fr_wel",3904,10000,"SVM",1,"rbf",0.7202884017328,0.735671200833854,0.720297278118805,0.727903070995327
"170","de","d_fr_wel",3904,10000,"SVM",1,"linear",0.696082310670722,0.713053360431739,0.69608710145766,0.704468092814626
"171","de","d_fr_wel",3904,10000,"SVM",1,"sigmoid",0.581329717804276,0.581961947093432,0.581317573271653,0.581639581713991
"172","de","d_fr_wel",3904,10000,"SVM",1,"poly",0.685578358166718,0.724553802525932,0.68558767469035,0.704532367408148
"173","de","d_fr_wel",3904,10000,"SVM",3,"rbf",0.721697721809194,0.735803128270038,0.721710681412896,0.728688776135892
"174","de","d_fr_wel",3904,10000,"SVM",3,"linear",0.710427098396192,0.727901184473212,0.710437793921962,0.719063474546616
"175","de","d_fr_wel",3904,10000,"SVM",3,"sigmoid",0.575181733684177,0.575689743520631,0.575169441128629,0.575429474710511
"176","de","d_fr_wel",3904,10000,"SVM",3,"poly",0.701331481669045,0.733263540474844,0.701343210331334,0.716948258059643
"177","de","d_fr_wel",3904,10000,"SVM",5,"rbf",0.721185984480155,0.734199927053488,0.721200321309419,0.727642068072939
"178","de","d_fr_wel",3904,10000,"SVM",5,"linear",0.715293672164669,0.733042053451705,0.71530623770836,0.724065553205532
"179","de","d_fr_wel",3904,10000,"SVM",5,"sigmoid",0.572620143355353,0.573070835026037,0.572607998180139,0.57283932311356
"180","de","d_fr_wel",3904,10000,"SVM",5,"poly",0.702996079830236,0.731244375144533,0.703008005579229,0.716848243266605
"181","ro","d_fr_eco",419,10000,"SVM",1,"rbf",0.875,0.875019133629267,0.875,0.875009566710036
"182","ro","d_fr_eco",419,10000,"SVM",1,"linear",0.835714285714286,0.838199013157895,0.835714285714286,0.836954805293245
"183","ro","d_fr_eco",419,10000,"SVM",1,"sigmoid",0.882142857142857,0.882162355222205,0.882142857142857,0.88215260607479
"184","ro","d_fr_eco",419,10000,"SVM",1,"poly",0.692857142857143,0.752403846153846,0.692857142857143,0.721403792234948
"185","ro","d_fr_eco",419,10000,"SVM",3,"rbf",0.889285714285714,0.889464550048492,0.889285714285714,0.889375123177019
"186","ro","d_fr_eco",419,10000,"SVM",3,"linear",0.882142857142857,0.882318411515492,0.882142857142857,0.882230625595818
"187","ro","d_fr_eco",419,10000,"SVM",3,"sigmoid",0.885714285714286,0.886977886977887,0.885714285714286,0.886345635989229
"188","ro","d_fr_eco",419,10000,"SVM",3,"poly",0.742857142857143,0.781723484848485,0.742857142857143,0.761794901372707
"189","ro","d_fr_eco",419,10000,"SVM",5,"rbf",0.889285714285714,0.889305576815144,0.889285714285714,0.889295645439521
"190","ro","d_fr_eco",419,10000,"SVM",5,"linear",0.896428571428571,0.896610688581492,0.896428571428571,0.896519620756305
"191","ro","d_fr_eco",419,10000,"SVM",5,"sigmoid",0.9,0.900326797385621,0.9,0.900163369032492
"192","ro","d_fr_eco",419,10000,"SVM",5,"poly",0.746428571428571,0.780830280830281,0.746428571428571,0.76324197458249
"193","ro","d_fr_eco",419,10000,"SVM",1,"rbf",0.7959229390681,0.806196435501502,0.796184480986639,0.801159180027956
"194","ro","d_fr_eco",419,10000,"SVM",1,"linear",0.767319508448541,0.778511503421883,0.767587358684481,0.773010838133554
"195","ro","d_fr_eco",419,10000,"SVM",1,"sigmoid",0.797702252944188,0.805339419369344,0.797931654676259,0.801618423579343
"196","ro","d_fr_eco",419,10000,"SVM",1,"poly",0.643919610855095,0.726282051282051,0.644565775950668,0.682988358946694
"197","ro","d_fr_eco",419,10000,"SVM",3,"rbf",0.817402713773681,0.82676559364737,0.81763874614594,0.822176841775311
"198","ro","d_fr_eco",419,10000,"SVM",3,"linear",0.80487071172555,0.814082103730494,0.805113052415211,0.809572737373079
"199","ro","d_fr_eco",419,10000,"SVM",3,"sigmoid",0.822785458269329,0.831094898716068,0.822995889003083,0.827025566060879
"200","ro","d_fr_eco",419,10000,"SVM",3,"poly",0.676088069636457,0.742998494560995,0.67669578622816,0.70829890244231
"201","ro","d_fr_eco",419,10000,"SVM",5,"rbf",0.817402713773681,0.827801637000296,0.817651593011305,0.822695309529869
"202","ro","d_fr_eco",419,10000,"SVM",5,"linear",0.813805683563748,0.824820495805897,0.814067317574512,0.819408629460997
"203","ro","d_fr_eco",419,10000,"SVM",5,"sigmoid",0.838888888888889,0.847780368918571,0.839105858170606,0.843420809984482
"204","ro","d_fr_eco",419,10000,"SVM",5,"poly",0.685042242703533,0.74817911557042,0.685624357656732,0.71553715010967
"205","ro","d_fr_eco",419,10000,"SVM",1,"rbf",0.80421146953405,0.81333088697299,0.80429941760877,0.80878994027592
"206","ro","d_fr_eco",419,10000,"SVM",1,"linear",0.776779313876088,0.785405518410288,0.776892771497088,0.781125952564476
"207","ro","d_fr_eco",419,10000,"SVM",1,"sigmoid",0.804202935654549,0.810235616647724,0.80429941760877,0.807256604246742
"208","ro","d_fr_eco",419,10000,"SVM",1,"poly",0.655086192182966,0.728398489225954,0.655224391915039,0.689876502737996
"209","ro","d_fr_eco",419,10000,"SVM",3,"rbf",0.817336576207544,0.826056874341606,0.817403220280918,0.82170726436422
"210","ro","d_fr_eco",419,10000,"SVM",3,"linear",0.804202935654549,0.812270668734376,0.80428228845495,0.808256740849851
"211","ro","d_fr_eco",419,10000,"SVM",3,"sigmoid",0.820925072537976,0.828079137169175,0.820991778006167,0.824520227599851
