"","language","target","observations_per_class","top_k_words","classifier","n_estimators","criterion","Accuracy","Precision","Recall","F1"
"118","de","d_fr_wel",3904,10000,"Random Forest",100,"gini",0.599777164427927,0.590824286300471,0.599806639738702,0.595281580700757
"119","de","d_fr_wel",3904,10000,"Random Forest",200,"gini",0.60246700898636,0.592322580389938,0.602498058722799,0.597366990726956
"120","de","d_fr_wel",3904,10000,"Random Forest",300,"gini",0.600802066320331,0.589852691629652,0.60083316508275,0.595292297538435
"121","ro","d_fr_eco",419,10000,"Random Forest",50,"entropy",0.792857142857143,0.795815295815296,0.792857142857143,0.794333465254034
"122","ro","d_fr_eco",419,10000,"Random Forest",100,"entropy",0.803571428571429,0.803586917699883,0.803571428571429,0.803579173061017
"123","ro","d_fr_eco",419,10000,"Random Forest",200,"entropy",0.810714285714286,0.810730139292821,0.810714285714286,0.81072221242605
"124","ro","d_fr_eco",419,10000,"Random Forest",300,"entropy",0.821428571428571,0.821691176470588,0.821428571428571,0.821559852964679
"125","ro","d_fr_eco",419,10000,"Random Forest",50,"gini",0.8,0.800245098039216,0.8,0.800122530249656
"126","ro","d_fr_eco",419,10000,"Random Forest",100,"gini",0.835714285714286,0.835988562091503,0.835714285714286,0.835851401402624
"127","ro","d_fr_eco",419,10000,"Random Forest",200,"gini",0.835714285714286,0.838199013157895,0.835714285714286,0.836954805293245
"128","ro","d_fr_eco",419,10000,"Random Forest",300,"gini",0.825,0.827018840802916,0.825,0.826008186844646
"129","ro","d_fr_eco",419,10000,"Random Forest",50,"entropy",0.735087045570917,0.744268052246776,0.7353802672148,0.73979746665726
"130","ro","d_fr_eco",419,10000,"Random Forest",100,"entropy",0.733307731694828,0.746268216338259,0.733645940390545,0.739903250292897
"131","ro","d_fr_eco",419,10000,"Random Forest",200,"entropy",0.727969790066564,0.736179388882625,0.728237410071942,0.732186863590959
"132","ro","d_fr_eco",419,10000,"Random Forest",300,"entropy",0.742281105990783,0.755454627928602,0.742600205549846,0.748972266496723
"133","ro","d_fr_eco",419,10000,"Random Forest",50,"gini",0.74768305171531,0.762078948464274,0.747995889003083,0.754971748953987
"134","ro","d_fr_eco",419,10000,"Random Forest",100,"gini",0.763748079877112,0.777131892005387,0.764041623843782,0.770531165507903
"135","ro","d_fr_eco",419,10000,"Random Forest",200,"gini",0.751228878648234,0.75890986418899,0.751464542651593,0.755168852734348
"136","ro","d_fr_eco",419,10000,"Random Forest",300,"gini",0.733333333333333,0.742651817394085,0.73360739979445,0.738101902928229
"137","ro","d_fr_eco",419,10000,"Random Forest",50,"entropy",0.740966888547534,0.746854491271737,0.741127098321343,0.743979772136637
"138","ro","d_fr_eco",419,10000,"Random Forest",100,"entropy",0.757701826250213,0.765935254553923,0.757879410757109,0.761886038524164
"139","ro","d_fr_eco",419,10000,"Random Forest",200,"entropy",0.756485748421232,0.764072187022481,0.756646111682083,0.760341017593426
"140","ro","d_fr_eco",419,10000,"Random Forest",300,"entropy",0.754117596859532,0.762697327642104,0.75427372387804,0.758462138003166
"141","ro","d_fr_eco",419,10000,"Random Forest",50,"gini",0.754096262160778,0.760148766850843,0.754222336416581,0.757173955210082
"142","ro","d_fr_eco",419,10000,"Random Forest",100,"gini",0.744542584058713,0.749525345274129,0.744715656046591,0.747112759904202
"143","ro","d_fr_eco",419,10000,"Random Forest",200,"gini",0.762455197132616,0.767953189304268,0.762598492634464,0.765266474158443
"144","ro","d_fr_eco",419,10000,"Random Forest",300,"gini",0.760091312510667,0.767074781840249,0.760268927714971,0.763656691311101
"145","es","d_fr_sec",2303,10000,"Random Forest",50,"entropy",0.404947916666667,0.348033741366786,0.404947916666667,0.374339897904722
"146","es","d_fr_sec",2303,10000,"Random Forest",100,"entropy",0.40625,0.349346120313862,0.40625,0.375655346982339
"147","es","d_fr_sec",2303,10000,"Random Forest",200,"entropy",0.402994791666667,0.346851838468518,0.402994791666667,0.372821531137963
"148","es","d_fr_sec",2303,10000,"Random Forest",300,"entropy",0.402994791666667,0.347608901199877,0.402994791666667,0.37325842665533
"149","es","d_fr_sec",2303,10000,"Random Forest",50,"gini",0.408854166666667,0.352001938069859,0.408854166666667,0.378304013488702
"150","es","d_fr_sec",2303,10000,"Random Forest",100,"gini",0.393229166666667,0.336646607179913,0.393229166666667,0.362744646544041
"151","es","d_fr_sec",2303,10000,"Random Forest",200,"gini",0.393880208333333,0.339513864851352,0.393880208333333,0.36468195397055
"152","es","d_fr_sec",2303,10000,"Random Forest",300,"gini",0.390625,0.335716905023836,0.390625,0.361095553259129
"153","es","d_fr_sec",2303,10000,"Random Forest",50,"entropy",0.58520820609392,0.558764529376651,0.585223645969144,0.571688103369064
"154","es","d_fr_sec",2303,10000,"Random Forest",100,"entropy",0.591724136468513,0.564273478539712,0.591734911451543,0.577678016438404
"155","es","d_fr_sec",2303,10000,"Random Forest",200,"entropy",0.584234824579262,0.555605712793561,0.584240717351152,0.569563533511609
"156","es","d_fr_sec",2303,10000,"Random Forest",300,"entropy",0.58586158048317,0.558116090720623,0.585869594741417,0.571656187738208
"157","es","d_fr_sec",2303,10000,"Random Forest",50,"gini",0.585538604438111,0.557703198828634,0.585548742394611,0.571286861501668
"158","es","d_fr_sec",2303,10000,"Random Forest",100,"gini",0.580330059039088,0.552665945878994,0.580331496496089,0.566160952247242
"159","es","d_fr_sec",2303,10000,"Random Forest",200,"gini",0.578375873710641,0.551108997081375,0.57837709827249,0.564413893849529
"160","es","d_fr_sec",2303,10000,"Random Forest",300,"gini",0.5835856915038,0.55609088977485,0.583586280421556,0.569506913758904
"161","es","d_fr_sec",2303,10000,"Random Forest",50,"entropy",0.627272778682591,0.611845429739138,0.627262942742286,0.619458270616025
"162","es","d_fr_sec",2303,10000,"Random Forest",100,"entropy",0.63487335437025,0.618352311461983,0.634861258239171,0.626498046272301
"163","es","d_fr_sec",2303,10000,"Random Forest",200,"entropy",0.637696231451321,0.622107629915929,0.63768102410184,0.629798068558828
"164","es","d_fr_sec",2303,10000,"Random Forest",300,"entropy",0.638782997421281,0.623299416630254,0.638770620563523,0.63094019099458
"165","es","d_fr_sec",2303,10000,"Random Forest",50,"gini",0.624017287595006,0.607561063329519,0.624004056207446,0.615672792119783
"166","es","d_fr_sec",2303,10000,"Random Forest",100,"gini",0.637482469236337,0.6205013570668,0.63746853723019,0.62887052262848
"167","es","d_fr_sec",2303,10000,"Random Forest",200,"gini",0.640087908297141,0.622893173948009,0.640075816221208,0.63136761050637
"168","es","d_fr_sec",2303,10000,"Random Forest",300,"gini",0.642259460957293,0.624840490451713,0.642247935680139,0.633424640057787
"169","pl","d_fr_wel",511,10000,"Random Forest",50,"entropy",0.747800586510264,0.752805245809664,0.748004815961472,0.750397353656012
"170","pl","d_fr_wel",511,10000,"Random Forest",100,"entropy",0.774193548387097,0.779250105027307,0.774389404884761,0.776812151388499
"171","pl","d_fr_wel",511,10000,"Random Forest",200,"entropy",0.762463343108504,0.771410803127221,0.762727898176815,0.767044778936855
"172","pl","d_fr_wel",511,10000,"Random Forest",300,"entropy",0.765395894428152,0.775055203362063,0.765669074647403,0.770333548745754
"173","pl","d_fr_wel",511,10000,"Random Forest",50,"gini",0.765395894428152,0.769872063758389,0.765583075335397,0.767721579329001
"174","pl","d_fr_wel",511,10000,"Random Forest",100,"gini",0.768328445747801,0.773281053073799,0.768524251805986,0.770895314561942
"175","pl","d_fr_wel",511,10000,"Random Forest",200,"gini",0.762463343108504,0.772649389590919,0.762745098039216,0.767665299258821
"176","pl","d_fr_wel",511,10000,"Random Forest",300,"gini",0.777126099706745,0.787199943015884,0.777399380804954,0.782268966825042
"177","pl","d_fr_wel",511,10000,"Random Forest",50,"entropy",0.705278592375367,0.723351298749906,0.705280357757138,0.714201537454044
"178","pl","d_fr_wel",511,10000,"Random Forest",100,"entropy",0.717008797653959,0.727886507731753,0.716933264533884,0.722368367619972
"179","pl","d_fr_wel",511,10000,"Random Forest",200,"entropy",0.734604105571848,0.749971283169756,0.734580323357413,0.742196021044191
"180","pl","d_fr_wel",511,10000,"Random Forest",300,"entropy",0.743401759530792,0.757769169342263,0.743378052975576,0.750504629173941
"181","pl","d_fr_wel",511,10000,"Random Forest",50,"gini",0.73900293255132,0.744109222844598,0.738957688338493,0.741524508487552
"182","pl","d_fr_wel",511,10000,"Random Forest",100,"gini",0.721407624633431,0.72961422350033,0.721353629170967,0.725460411886811
"183","pl","d_fr_wel",511,10000,"Random Forest",200,"gini",0.728739002932551,0.739168531104253,0.728663570691434,0.733878460020406
"184","pl","d_fr_wel",511,10000,"Random Forest",300,"gini",0.73900293255132,0.74701120521212,0.738940488476092,0.742953929419431
"185","pl","d_fr_wel",511,10000,"Random Forest",50,"entropy",0.713308607900638,0.730586541145406,0.713243894048848,0.721811061526932
"186","pl","d_fr_wel",511,10000,"Random Forest",100,"entropy",0.720156977747111,0.734813165868098,0.720112372434354,0.727388499602066
"187","pl","d_fr_wel",511,10000,"Random Forest",200,"entropy",0.738741302972802,0.752318556919983,0.738728356839812,0.745461522699117
"188","pl","d_fr_wel",511,10000,"Random Forest",300,"entropy",0.727985739750446,0.742560755904199,0.727938309826855,0.735176831041273
"189","pl","d_fr_wel",511,10000,"Random Forest",50,"gini",0.722123512161463,0.734672703216896,0.722078890035546,0.728321359023001
"190","pl","d_fr_wel",511,10000,"Random Forest",100,"gini",0.725044563279857,0.735505869171224,0.725002866643734,0.73021660262084
"191","pl","d_fr_wel",511,10000,"Random Forest",200,"gini",0.73091541601978,0.738766444642953,0.73088521958491,0.734804699994693
"192","pl","d_fr_wel",511,10000,"Random Forest",300,"gini",0.735791501351274,0.744493087650149,0.735764247219356,0.740102931147733
"193","uk","d_fr_sec",4109,10000,"Random Forest",50,"entropy",0.705474452554745,0.721546710908413,0.705474452554745,0.713420072391143
"194","uk","d_fr_sec",4109,10000,"Random Forest",100,"entropy",0.708394160583942,0.722504444286425,0.708394160583942,0.715379730731959
"195","uk","d_fr_sec",4109,10000,"Random Forest",200,"entropy",0.711313868613139,0.72475243316758,0.711313868613139,0.717970272520099
"196","uk","d_fr_sec",4109,10000,"Random Forest",300,"entropy",0.706934306569343,0.721471871740818,0.706934306569343,0.71412911131729
"197","uk","d_fr_sec",4109,10000,"Random Forest",50,"gini",0.710583941605839,0.72314152234972,0.710583941605839,0.716807737894845
"198","uk","d_fr_sec",4109,10000,"Random Forest",100,"gini",0.714963503649635,0.726642938715713,0.714963503649635,0.720755909655944
"199","uk","d_fr_sec",4109,10000,"Random Forest",200,"gini",0.716788321167883,0.726380011750463,0.716788321167883,0.721552291962576
"200","uk","d_fr_sec",4109,10000,"Random Forest",300,"gini",0.715693430656934,0.726032089538489,0.715693430656934,0.720825690674311
"201","uk","d_fr_sec",4109,10000,"Random Forest",50,"entropy",0.670555346801939,0.689511552992053,0.670588713590292,0.679918498197855
"202","uk","d_fr_sec",4109,10000,"Random Forest",100,"entropy",0.674205314955909,0.689546266781411,0.674235282826721,0.681804827670624
"203","uk","d_fr_sec",4109,10000,"Random Forest",200,"entropy",0.673292173338343,0.68885006955984,0.673322740771942,0.680997907606162
"204","uk","d_fr_sec",4109,10000,"Random Forest",300,"entropy",0.681140620877671,0.696298570649644,0.681169989283029,0.688651202217477
"205","uk","d_fr_sec",4109,10000,"Random Forest",50,"gini",0.667267410717855,0.680720841109391,0.667296977387725,0.673942070325977
"206","uk","d_fr_sec",4109,10000,"Random Forest",100,"gini",0.676392097920548,0.68914740290341,0.676422664526827,0.682725747498097
"207","uk","d_fr_sec",4109,10000,"Random Forest",200,"gini",0.672014134840623,0.68392784372878,0.672043235778687,0.677933457556605
"208","uk","d_fr_sec",4109,10000,"Random Forest",300,"gini",0.676941475257367,0.689267616213033,0.676970376373612,0.683063653773026
"209","uk","d_fr_sec",4109,10000,"Random Forest",50,"entropy",0.677535312672944,0.694032475239339,0.677540659617992,0.68568741851142
"210","uk","d_fr_sec",4109,10000,"Random Forest",100,"entropy",0.6862965242967,0.700224078946892,0.686302538482456,0.693193418498912
"211","uk","d_fr_sec",4109,10000,"Random Forest",200,"entropy",0.691406146594784,0.706175327590646,0.691414604582882,0.698717017992442
