"","language","target","observations_per_class","top_k_words","classifier","hidden_layers","hidden_units","dropout_rate","learning_rate","epochs","Accuracy","Precision","Recall","F1"
"85","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.01,100,0.749411761760712,0.777401477832512,0.749411764705882,0.76315006597511
"86","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.001,100,0.78705883026123,0.797332324066428,0.787058823529412,0.792162266109524
"87","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,1e-04,100,0.764705896377563,0.765181557506614,0.764705882352941,0.764943645980922
"88","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.01,100,0.74117648601532,0.784593875964434,0.741176470588235,0.762267429231872
"89","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.001,100,0.771764695644379,0.785125551082998,0.771764705882353,0.778387798756422
"90","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,1e-04,100,0.779999971389771,0.780125620347395,0.78,0.780062805116261
"91","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.01,100,0.699999988079071,0.767086118175903,0.7,0.732009220277757
"92","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.001,100,0.769411742687225,0.779828753141155,0.769411764705882,0.774585237360756
"93","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,1e-04,100,0.772941172122955,0.778682223126668,0.772941176470588,0.77580107878817
"94","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.01,100,0.680000007152557,0.760247820762193,0.68,0.717888283760369
"95","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.001,100,0.767058849334717,0.780795045084377,0.767058823529412,0.773865984178968
"96","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,1e-04,100,0.778823554515839,0.78906586310805,0.778823529411765,0.783911241923126
"97","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.01,100,0.826980531215668,0.830651487785744,0.827000554938957,0.828822000822965
"98","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.001,100,0.809900939464569,0.815661886467435,0.809923695893452,0.812782663497404
"99","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,1e-04,100,0.76927387714386,0.773589604152215,0.769293840177581,0.771435741937359
"100","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.01,100,0.826398521661758,0.832831531952626,0.826412319644839,0.829609508610441
"101","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.001,100,0.821678102016449,0.826569188301585,0.821691176470588,0.824122964169859
"102","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,1e-04,100,0.774565935134888,0.777521420160554,0.774607380688124,0.776061664947089
"103","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.01,100,0.824626892805099,0.827995076560064,0.824642064372919,0.826315169026923
"104","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.001,100,0.824624121189117,0.829081934044035,0.824642064372919,0.826856039192563
"105","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,1e-04,100,0.779278725385666,0.780143125257382,0.779263318534961,0.779702973705627
"106","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.01,100,0.808152139186859,0.815359321242737,0.808178412874584,0.811752986477659
"107","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.001,100,0.819919645786285,0.825060984732797,0.819936182019978,0.822490600504631
"108","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,1e-04,100,0.779282212257385,0.779812503152277,0.779284128745838,0.779548226416598
"109","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.01,100,0.821105122566223,0.830390753820108,0.821107103218646,0.825722835185946
"110","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.001,100,0.805787444114685,0.815526866738603,0.805825471698113,0.81064714497005
"111","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,1e-04,100,0.733399152755737,0.761936476706177,0.733399001109878,0.747395429608378
"112","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.01,100,0.814625531435013,0.827471039249199,0.814669811320755,0.821020529614816
"113","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.001,100,0.814619272947311,0.823063989117417,0.814647613762486,0.818834175112706
"114","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,1e-04,100,0.773400545120239,0.774360916647336,0.773390677025527,0.773875492729194
"115","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.01,100,0.791082262992859,0.81505841620736,0.791152885682575,0.802927755798483
"116","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.001,100,0.816981911659241,0.824153701236394,0.81699500554939,0.820558740266632
"117","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,1e-04,100,0.779284983873367,0.780742684084796,0.779303551609323,0.780022454051899
"118","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.01,100,0.798734158277512,0.805724828285431,0.798774972253052,0.802234848694023
"119","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.001,100,0.819332778453827,0.826091444421305,0.819352108768036,0.82270797525674
"120","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,1e-04,100,0.798126518726349,0.802981462456453,0.798142341842397,0.800554589445606
"121","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.01,100,0.848142902056376,0.853639678610441,0.84815205327414,0.850887018199271
"122","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,0.001,100,0.826938728491465,0.830917561287969,0.826949685534591,0.828928875130613
"123","es","d_fr_eco",1274,10000,"MLP",2,16,0.2,1e-04,100,0.764125724633535,0.778028471024884,0.764101923788383,0.771002314034844
"124","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.01,100,0.849322160085042,0.854320975556099,0.849315575286719,0.851810922317883
"125","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,0.001,100,0.840677599112193,0.84426971341488,0.84068349981502,0.842472790209876
"126","es","d_fr_eco",1274,10000,"MLP",2,32,0.2,1e-04,100,0.782969117164612,0.783449815307416,0.782963374028857,0.783206519137262
"127","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.01,100,0.843827803929647,0.850427570243466,0.84383555308916,0.847118737598562
"128","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,0.001,100,0.844606578350067,0.848035861250514,0.844612467628561,0.846320702520221
"129","es","d_fr_eco",1274,10000,"MLP",2,64,0.2,1e-04,100,0.786107758680979,0.786220001022293,0.786112652608213,0.786166323150735
"130","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.01,100,0.845791359742483,0.846774309900844,0.845780614132445,0.846277170318199
"131","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,0.001,100,0.844610273838043,0.848646884442414,0.844614317425083,0.846625799076619
"132","es","d_fr_eco",1274,10000,"MLP",2,128,0.2,1e-04,100,0.79042794307073,0.790499502734157,0.790428227894931,0.79046386370786
"133","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.01,100,0.837155600388845,0.840053318372149,0.837155012948576,0.838601661447209
"134","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,0.001,100,0.846180737018585,0.851264153108525,0.846175545689974,0.84871222205158
"135","es","d_fr_eco",1274,10000,"MLP",3,16,0.2,1e-04,100,0.76608928044637,0.788209048625621,0.765971143174251,0.77693100095024
"136","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.01,100,0.840690076351166,0.846801436479339,0.840673325934147,0.843726254006594
"137","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,0.001,100,0.849321703116099,0.853979244787228,0.849320199778024,0.85164335032599
"138","es","d_fr_eco",1274,10000,"MLP",3,32,0.2,1e-04,100,0.784543772538503,0.786252385300731,0.784524602293748,0.785387543556008
"139","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.01,100,0.826174259185791,0.842540786909479,0.826207917129116,0.834294423077745
"140","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,0.001,100,0.848143398761749,0.851770112297195,0.848140029596744,0.849951195006681
"141","es","d_fr_eco",1274,10000,"MLP",3,64,0.2,1e-04,100,0.794356008370717,0.79709479387317,0.794356270810211,0.795723176155964
"142","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.01,100,0.835202197233836,0.846996297710706,0.835174805771365,0.841044013852475
"143","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,0.001,100,0.845398286978404,0.850313524534111,0.845407880133185,0.847853606431302
"144","es","d_fr_eco",1274,10000,"MLP",3,128,0.2,1e-04,100,0.817125558853149,0.82135526647804,0.817132815390307,0.819238600219229
"145","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.01,100,0.754568099975586,0.769233322754449,0.754568106312292,0.761830144782879
"146","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,0.001,100,0.725913643836975,0.739624430733929,0.725913621262459,0.732704890407819
"147","de","d_fr_lab",3611,10000,"MLP",2,16,0.2,1e-04,100,0.695598006248474,0.69564672883654,0.695598006644518,0.695622366887389
"148","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,0.01,100,0.745431900024414,0.762026930189637,0.745431893687708,0.753638067740032
"149","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,0.001,100,0.733388721942902,0.749280872384321,0.733388704318937,0.741249617316293
"150","de","d_fr_lab",3611,10000,"MLP",2,32,0.2,1e-04,100,0.69975084066391,0.700571176439214,0.699750830564784,0.700160763211784
"151","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,0.01,100,0.743355453014374,0.754690636055158,0.743355481727575,0.748980174456066
"152","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,0.001,100,0.730481743812561,0.744366965149677,0.730481727574751,0.737358983785204
"153","de","d_fr_lab",3611,10000,"MLP",2,64,0.2,1e-04,100,0.711378753185272,0.715035155200085,0.711378737541528,0.713202260006575
"154","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,0.01,100,0.709302306175232,0.76008064516129,0.709302325581395,0.733814097450461
"155","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,0.001,100,0.732558131217957,0.746465178166718,0.732558139534884,0.739446275931819
"156","de","d_fr_lab",3611,10000,"MLP",2,128,0.2,1e-04,100,0.716777384281158,0.722928797629993,0.716777408637874,0.719839961707451
"157","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,0.01,100,0.72508305311203,0.751468189987638,0.725083056478405,0.738039879545843
"158","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,0.001,100,0.729651153087616,0.745620558859704,0.729651162790698,0.737549428743888
"159","de","d_fr_lab",3611,10000,"MLP",3,16,0.2,1e-04,100,0.704318940639496,0.704544701163523,0.704318936877076,0.704431800931426
"160","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,0.01,100,0.735465109348297,0.742078275763024,0.73546511627907,0.738756896496852
"161","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,0.001,100,0.721345543861389,0.742161739522885,0.721345514950166,0.731605587244193
"162","de","d_fr_lab",3611,10000,"MLP",3,32,0.2,1e-04,100,0.709302306175232,0.717373362220159,0.709302325581395,0.713315014033772
"163","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,0.01,100,0.715946853160858,0.758814269509457,0.715946843853821,0.73675753503912
"164","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,0.001,100,0.718023240566254,0.739822984003454,0.718023255813953,0.728760130103552
"165","de","d_fr_lab",3611,10000,"MLP",3,64,0.2,1e-04,100,0.720930218696594,0.734536980892205,0.720930232558139,0.727670003918281
"166","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,0.01,100,0.730481743812561,0.757654802253352,0.730481727574751,0.743820177466197
"167","de","d_fr_lab",3611,10000,"MLP",3,128,0.2,0.001,100,0.728820621967316,0.744511426067252,0.728820598006644,0.736582459218844
